"ciudad";"codigoDane";"departamento";"bodega";"codigoBodega"
"San Juan De Urabá";"05659000";"Antioquia";"Medellín";"ECF3"
"San Luis";"05660000";"Antioquia";"Medellín";"ECF3"
"San Pedro De Los Milagros";"05664000";"Antioquia";"Medellín";"ECF3"
"San Pedro De Urabá";"05665000";"Antioquia";"Medellín";"ECF3"
"San Rafael";"05667000";"Antioquia";"Medellín";"ECF3"
"San Roque";"05670000";"Antioquia";"Medellín";"ECF3"
"San Vicente";"05674000";"Antioquia";"Medellín";"ECF3"
"Santa Bárbara";"05679000";"Antioquia";"Medellín";"ECF3"
"Santa Rosa De Osos";"05686000";"Antioquia";"Medellín";"ECF3"
"Santo Domingo";"05690000";"Antioquia";"Medellín";"ECF3"
"El Santuario";"05697000";"Antioquia";"Medellín";"ECF3"
"Segovia";"05736000";"Antioquia";"Medellín";"ECF3"
"Sonsón";"05756000";"Antioquia";"Medellín";"ECF3"
"Sopetrán";"05761000";"Antioquia";"Medellín";"ECF3"
"Támesis";"05789000";"Antioquia";"Medellín";"ECF3"
"Tarazá";"05790000";"Antioquia";"Medellín";"ECF3"
"Tarso";"05792000";"Antioquia";"Medellín";"ECF3"
"Titiribí";"05809000";"Antioquia";"Medellín";"ECF3"
"Toledo";"05819000";"Antioquia";"Medellín";"ECF3"
"Turbo";"05837000";"Antioquia";"Medellín";"ECF3"
"Uramita";"05842000";"Antioquia";"Medellín";"ECF3"
"Urrao";"05847000";"Antioquia";"Medellín";"ECF3"
"Valdivia";"05854000";"Antioquia";"Medellín";"ECF3"
"Valparaíso";"05856000";"Antioquia";"Medellín";"ECF3"
"Vegachí";"05858000";"Antioquia";"Medellín";"ECF3"
"Venecia";"05861000";"Antioquia";"Medellín";"ECF3"
"Yalí";"05885000";"Antioquia";"Medellín";"ECF3"
"Yarumal";"05887000";"Antioquia";"Medellín";"ECF3"
"Yolombó";"05890000";"Antioquia";"Medellín";"ECF3"
"Yondo";"05893000";"Antioquia";"Medellín";"ECF3"
"Zaragoza";"05895000";"Antioquia";"Medellín";"ECF3"
"El Carmen De Bolívar";"13244000";"Bolívar";"Medellín";"ECF3"
"Magangué";"13430000";"Bolívar";"Medellín";"ECF3"
"Santa Cruz De Mompóx";"13468000";"Bolívar";"Medellín";"ECF3"
"San Jacinto";"13654000";"Bolívar";"Medellín";"ECF3"
"San Juan Nepomuceno";"13657000";"Bolívar";"Medellín";"ECF3"
"Montería";"23001000";"Córdoba";"Medellín";"ECF3"
"Ayapel";"23068000";"Córdoba";"Medellín";"ECF3"
"Buenavista";"23079000";"Córdoba";"Medellín";"ECF3"
"Canalete Urbano";"23090000";"Córdoba";"Medellín";"ECF3"
"Cereté";"23162000";"Córdoba";"Medellín";"ECF3"
"Chimá";"23168000";"Córdoba";"Medellín";"ECF3"
"Chinú";"23182000";"Córdoba";"Medellín";"ECF3"
"Ciénaga De Oro";"23189000";"Córdoba";"Medellín";"ECF3"
"Cotorra";"23300000";"Córdoba";"Medellín";"ECF3"
"La Apartada";"23350000";"Córdoba";"Medellín";"ECF3"
"Santa Cruz De Lorica";"23417000";"Córdoba";"Medellín";"ECF3"
"Los Córdobas";"23419000";"Córdoba";"Medellín";"ECF3"
"Momil";"23464000";"Córdoba";"Medellín";"ECF3"
"Montelíbano";"23466000";"Córdoba";"Medellín";"ECF3"
"Moñitos";"23500000";"Córdoba";"Medellín";"ECF3"
"Planeta Rica";"23555000";"Córdoba";"Medellín";"ECF3"
"Pueblo Nuevo";"23570000";"Córdoba";"Medellín";"ECF3"
"Puerto Escondido";"23574000";"Córdoba";"Medellín";"ECF3"
"Puerto Libertador";"23580000";"Córdoba";"Medellín";"ECF3"
"Purísima De La Concepción";"23586000";"Córdoba";"Medellín";"ECF3"
"Sahagún";"23660000";"Córdoba";"Medellín";"ECF3"
"San Andrés De Sotavento";"23670000";"Córdoba";"Medellín";"ECF3"
"San Antero";"23672000";"Córdoba";"Medellín";"ECF3"
"San Bernardo Del Viento";"23675000";"Córdoba";"Medellín";"ECF3"
"San Carlos";"23678000";"Córdoba";"Medellín";"ECF3"
"San José De Uré";"23682000";"Córdoba";"Medellín";"ECF3"
"San Pelayo";"23686000";"Córdoba";"Medellín";"ECF3"
"Tierralta";"23807000";"Córdoba";"Medellín";"ECF3"
"Tuchín";"23815000";"Córdoba";"Medellín";"ECF3"
"Valencia";"23855000";"Córdoba";"Medellín";"ECF3"
"San Francisco De Quibdo";"27001000";"Chocó";"Medellín";"ECF3"
"Acandí";"27006000";"Chocó";"Medellín";"ECF3"
"Pie De Pato";"27025000";"Chocó";"Medellín";"ECF3"
"Yuto";"27050000";"Chocó";"Medellín";"ECF3"
"Ciudad Mútis";"27075000";"Chocó";"Medellín";"ECF3"
"Pizarro";"27077000";"Chocó";"Medellín";"ECF3"
"Bellavista";"27099000";"Chocó";"Medellín";"ECF3"
"Cértegui";"27160000";"Chocó";"Medellín";"ECF3"
"Condoto";"27205000";"Chocó";"Medellín";"ECF3"
"El Carmen De Atrato";"27245000";"Chocó";"Medellín";"ECF3"
"Istmina";"27361000";"Chocó";"Medellín";"ECF3"
"Juradó";"27372000";"Chocó";"Medellín";"ECF3"
"Lloró";"27413000";"Chocó";"Medellín";"ECF3"
"Andagoya";"27450000";"Chocó";"Medellín";"ECF3"
"Nóvita";"27491000";"Chocó";"Medellín";"ECF3"
"Nuquí";"27495000";"Chocó";"Medellín";"ECF3"
"Riosucio";"27615000";"Chocó";"Medellín";"ECF3"
"Sipí";"27745000";"Chocó";"Medellín";"ECF3"
"Tadó";"27787000";"Chocó";"Medellín";"ECF3"
"Unguía";"27800000";"Chocó";"Medellín";"ECF3"
"Ánimas";"27810000";"Chocó";"Medellín";"ECF3"
"Coveñas";"70221000";"Sucre";"Medellín";"ECF3"
"Ovejas";"70508000";"Sucre";"Medellín";"ECF3"
"San Onofre";"70713000";"Sucre";"Medellín";"ECF3"
"San Pedro";"70717000";"Sucre";"Medellín";"ECF3"
"Sincé";"70742000";"Sucre";"Medellín";"ECF3"
"Santiago De Tolú";"70820000";"Sucre";"Medellín";"ECF3"
"Tolú Viejo";"70823000";"Sucre";"Medellín";"ECF3"
"Bahia Solano";"27075000";"Chocó";"Medellín";"ECF3"
"Lorica";"23417000";"Córdoba";"Medellín";"ECF3"
"Manizales";"17001000";"Caldas";"Cali";"ECF4"
"Aguadas";"17013000";"Caldas";"Cali";"ECF4"
"Anserma";"17042000";"Caldas";"Cali";"ECF4"
"Aranzazu";"17050000";"Caldas";"Cali";"ECF4"
"Belalcázar";"17088000";"Caldas";"Cali";"ECF4"
"Chinchiná";"17174000";"Caldas";"Cali";"ECF4"
"Filadelfia";"17272000";"Caldas";"Cali";"ECF4"
"La Dorada";"17380000";"Caldas";"Cali";"ECF4"
"La Merced";"17388000";"Caldas";"Cali";"ECF4"
"Manzanares";"17433000";"Caldas";"Cali";"ECF4"
"Marmato";"17442000";"Caldas";"Cali";"ECF4"
"Marquetalia";"17444000";"Caldas";"Cali";"ECF4"
"Marulanda";"17446000";"Caldas";"Cali";"ECF4"
"Neira";"17486000";"Caldas";"Cali";"ECF4"
"Norcasia";"17495000";"Caldas";"Cali";"ECF4"
"Pácora";"17513000";"Caldas";"Cali";"ECF4"
"Palestina";"17524000";"Caldas";"Cali";"ECF4"
"Pensilvania";"17541000";"Caldas";"Cali";"ECF4"
"Riosucio";"17614000";"Caldas";"Cali";"ECF4"
"Risaralda";"17616000";"Caldas";"Cali";"ECF4"
"Salamina";"17653000";"Caldas";"Cali";"ECF4"
"Samaná";"17662000";"Caldas";"Cali";"ECF4"
"San José";"17665000";"Caldas";"Cali";"ECF4"
"Supía";"17777000";"Caldas";"Cali";"ECF4"
"Victoria";"17867000";"Caldas";"Cali";"ECF4"
"Villamaría";"17873000";"Caldas";"Cali";"ECF4"
"Viterbo";"17877000";"Caldas";"Cali";"ECF4"
"Popayán";"19001000";"Cauca";"Cali";"ECF4"
"Almaguer";"19022000";"Cauca";"Cali";"ECF4"
"Argelia";"19050000";"Cauca";"Cali";"ECF4"
"Balboa";"19075000";"Cauca";"Cali";"ECF4"
"Bolívar";"19100000";"Cauca";"Cali";"ECF4"
"Buenos Aires";"19110000";"Cauca";"Cali";"ECF4"
"Cajibío";"19130000";"Cauca";"Cali";"ECF4"
"Caldono";"19137000";"Cauca";"Cali";"ECF4"
"Caloto";"19142000";"Cauca";"Cali";"ECF4"
"Corinto";"19212000";"Cauca";"Cali";"ECF4"
"El Tambo";"19256000";"Cauca";"Cali";"ECF4"
"Florencia";"19290000";"Cauca";"Cali";"ECF4"
"Guachené";"19300000";"Cauca";"Cali";"ECF4"
"Guapí";"19318000";"Cauca";"Cali";"ECF4"
"Inzá";"19355000";"Cauca";"Cali";"ECF4"
"Jambaló";"19364000";"Cauca";"Cali";"ECF4"
"La Sierra";"19392000";"Cauca";"Cali";"ECF4"
"La Vega";"19397000";"Cauca";"Cali";"ECF4"
"López";"19418000";"Cauca";"Cali";"ECF4"
"Mercaderes";"19450000";"Cauca";"Cali";"ECF4"
"Miranda";"19455000";"Cauca";"Cali";"ECF4"
"Morales";"19473000";"Cauca";"Cali";"ECF4"
"Padilla";"19513000";"Cauca";"Cali";"ECF4"
"Belalcázar";"19517000";"Cauca";"Cali";"ECF4"
"El Bordo";"19532000";"Cauca";"Cali";"ECF4"
"Piendamó";"19548000";"Cauca";"Cali";"ECF4"
"Puerto Tejada";"19573000";"Cauca";"Cali";"ECF4"
"Coconuco";"19585000";"Cauca";"Cali";"ECF4"
"Rosas";"19622000";"Cauca";"Cali";"ECF4"
"San Sebastián";"19693000";"Cauca";"Cali";"ECF4"
"Santander De Quilichao";"19698000";"Cauca";"Cali";"ECF4"
"Silvia";"19743000";"Cauca";"Cali";"ECF4"
"Paispamba";"19760000";"Cauca";"Cali";"ECF4"
"Suárez";"19780000";"Cauca";"Cali";"ECF4"
"Timbío";"19807000";"Cauca";"Cali";"ECF4"
"Timbiquí";"19809000";"Cauca";"Cali";"ECF4"
"Toribío";"19821000";"Cauca";"Cali";"ECF4"
"Totoró";"19824000";"Cauca";"Cali";"ECF4"
"Villa Rica";"19845000";"Cauca";"Cali";"ECF4"
"San Juan De Pasto";"52001000";"Nariño";"Cali";"ECF4"
"San José";"52019000";"Nariño";"Cali";"ECF4"
"Aldana";"52022000";"Nariño";"Cali";"ECF4"
"Ancuyá";"52036000";"Nariño";"Cali";"ECF4"
"Berruecos";"52051000";"Nariño";"Cali";"ECF4"
"Barbacoas";"52079000";"Nariño";"Cali";"ECF4"
"Belén";"52083000";"Nariño";"Cali";"ECF4"
"Buesaco";"52110000";"Nariño";"Cali";"ECF4"
"Génova";"52203000";"Nariño";"Cali";"ECF4"
"Consacá";"52207000";"Nariño";"Cali";"ECF4"
"Contadero";"52210000";"Nariño";"Cali";"ECF4"
"Córdoba";"52215000";"Nariño";"Cali";"ECF4"
"Carlosama";"52224000";"Nariño";"Cali";"ECF4"
"Cumbal";"52227000";"Nariño";"Cali";"ECF4"
"Cumbitara";"52233000";"Nariño";"Cali";"ECF4"
"Chachagüí";"52240000";"Nariño";"Cali";"ECF4"
"El Charco";"52250000";"Nariño";"Cali";"ECF4"
"El Peñol";"52254000";"Nariño";"Cali";"ECF4"
"El Rosario";"52256000";"Nariño";"Cali";"ECF4"
"El Tablón De Gómez";"52258000";"Nariño";"Cali";"ECF4"
"El Tambo";"52260000";"Nariño";"Cali";"ECF4"
"Funes";"52287000";"Nariño";"Cali";"ECF4"
"Guachucal";"52317000";"Nariño";"Cali";"ECF4"
"Guaitarilla";"52320000";"Nariño";"Cali";"ECF4"
"Gualmatán";"52323000";"Nariño";"Cali";"ECF4"
"Iles";"52352000";"Nariño";"Cali";"ECF4"
"Imués";"52354000";"Nariño";"Cali";"ECF4"
"Ipiales";"52356000";"Nariño";"Cali";"ECF4"
"La Cruz";"52378000";"Nariño";"Cali";"ECF4"
"La Florida";"52381000";"Nariño";"Cali";"ECF4"
"La Llanada";"52385000";"Nariño";"Cali";"ECF4"
"La Unión";"52399000";"Nariño";"Cali";"ECF4"
"Leiva";"52405000";"Nariño";"Cali";"ECF4"
"Linares";"52411000";"Nariño";"Cali";"ECF4"
"Sotomayor";"52418000";"Nariño";"Cali";"ECF4"
"Piedrancha";"52435000";"Nariño";"Cali";"ECF4"
"Nariño";"52480000";"Nariño";"Cali";"ECF4"
"Ospina";"52506000";"Nariño";"Cali";"ECF4"
"Policarpa";"52540000";"Nariño";"Cali";"ECF4"
"Potosí";"52560000";"Nariño";"Cali";"ECF4"
"Providencia";"52565000";"Nariño";"Cali";"ECF4"
"Puerres";"52573000";"Nariño";"Cali";"ECF4"
"Pupiales";"52585000";"Nariño";"Cali";"ECF4"
"Ricaurte";"52612000";"Nariño";"Cali";"ECF4"
"Samaniego";"52678000";"Nariño";"Cali";"ECF4"
"Sandoná";"52683000";"Nariño";"Cali";"ECF4"
"San Bernardo";"52685000";"Nariño";"Cali";"ECF4"
"San Lorenzo";"52687000";"Nariño";"Cali";"ECF4"
"San Pablo";"52693000";"Nariño";"Cali";"ECF4"
"San Pedro De Cartago";"52694000";"Nariño";"Cali";"ECF4"
"Guachavés";"52699000";"Nariño";"Cali";"ECF4"
"Sapuyes";"52720000";"Nariño";"Cali";"ECF4"
"Taminango";"52786000";"Nariño";"Cali";"ECF4"
"Tangua";"52788000";"Nariño";"Cali";"ECF4"
"Tumaco";"52835000";"Nariño";"Cali";"ECF4"
"Túquerres";"52838000";"Nariño";"Cali";"ECF4"
"Yacuanquer";"52885000";"Nariño";"Cali";"ECF4"
"Armenia";"63001000";"Quindio";"Cali";"ECF4"
"Buenavista";"63111000";"Quindio";"Cali";"ECF4"
"Calarcá";"63130000";"Quindio";"Cali";"ECF4"
"Circasia";"63190000";"Quindio";"Cali";"ECF4"
"Córdoba";"63212000";"Quindio";"Cali";"ECF4"
"Filandia";"63272000";"Quindio";"Cali";"ECF4"
"Génova";"63302000";"Quindio";"Cali";"ECF4"
"La Tebaida";"63401000";"Quindio";"Cali";"ECF4"
"Montenegro";"63470000";"Quindio";"Cali";"ECF4"
"Pijao";"63548000";"Quindio";"Cali";"ECF4"
"Quimbaya";"63594000";"Quindio";"Cali";"ECF4"
"Salento";"63690000";"Quindio";"Cali";"ECF4"
"Pereira";"66001000";"Risaralda";"Cali";"ECF4"
"Apía";"66045000";"Risaralda";"Cali";"ECF4"
"Balboa";"66075000";"Risaralda";"Cali";"ECF4"
"Belén De Umbría";"66088000";"Risaralda";"Cali";"ECF4"
"Dosquebradas";"66170000";"Risaralda";"Cali";"ECF4"
"Guática";"66318000";"Risaralda";"Cali";"ECF4"
"La Celia";"66383000";"Risaralda";"Cali";"ECF4"
"La Virginia";"66400000";"Risaralda";"Cali";"ECF4"
"Marsella";"66440000";"Risaralda";"Cali";"ECF4"
"Mistrató";"66456000";"Risaralda";"Cali";"ECF4"
"Pueblo Rico";"66572000";"Risaralda";"Cali";"ECF4"
"Quinchía";"66594000";"Risaralda";"Cali";"ECF4"
"Santa Rosa De Cabal";"66682000";"Risaralda";"Cali";"ECF4"
"Santuario";"66687000";"Risaralda";"Cali";"ECF4"
"Cali";"76001000";"Valle Del Cauca";"Cali";"ECF4"
"Alcalá";"76020000";"Valle Del Cauca";"Cali";"ECF4"
"Andalucía";"76036000";"Valle Del Cauca";"Cali";"ECF4"
"Ansermanuevo";"76041000";"Valle Del Cauca";"Cali";"ECF4"
"Argelia";"76054000";"Valle Del Cauca";"Cali";"ECF4"
"Bolívar";"76100000";"Valle Del Cauca";"Cali";"ECF4"
"Buenaventura";"76109000";"Valle Del Cauca";"Cali";"ECF4"
"Guadalajara De Buga";"76111000";"Valle Del Cauca";"Cali";"ECF4"
"Bugalagrande";"76113000";"Valle Del Cauca";"Cali";"ECF4"
"Caicedonia";"76122000";"Valle Del Cauca";"Cali";"ECF4"
"Darién";"76126000";"Valle Del Cauca";"Cali";"ECF4"
"Candelaria";"76130000";"Valle Del Cauca";"Cali";"ECF4"
"Cartago";"76147000";"Valle Del Cauca";"Cali";"ECF4"
"Dagua";"76233000";"Valle Del Cauca";"Cali";"ECF4"
"El Águila";"76243000";"Valle Del Cauca";"Cali";"ECF4"
"El Cairo";"76246000";"Valle Del Cauca";"Cali";"ECF4"
"El Cerrito";"76248000";"Valle Del Cauca";"Cali";"ECF4"
"El Dovio";"76250000";"Valle Del Cauca";"Cali";"ECF4"
"Florida";"76275000";"Valle Del Cauca";"Cali";"ECF4"
"Ginebra";"76306000";"Valle Del Cauca";"Cali";"ECF4"
"Guacarí";"76318000";"Valle Del Cauca";"Cali";"ECF4"
"Jamundí";"76364000";"Valle Del Cauca";"Cali";"ECF4"
"La Cumbre";"76377000";"Valle Del Cauca";"Cali";"ECF4"
"La Unión";"76400000";"Valle Del Cauca";"Cali";"ECF4"
"La Victoria";"76403000";"Valle Del Cauca";"Cali";"ECF4"
"Obando";"76497000";"Valle Del Cauca";"Cali";"ECF4"
"Palmira";"76520000";"Valle Del Cauca";"Cali";"ECF4"
"Pradera";"76563000";"Valle Del Cauca";"Cali";"ECF4"
"Restrepo";"76606000";"Valle Del Cauca";"Cali";"ECF4"
"Riofrío";"76616000";"Valle Del Cauca";"Cali";"ECF4"
"Roldanillo";"76622000";"Valle Del Cauca";"Cali";"ECF4"
"San Pedro";"76670000";"Valle Del Cauca";"Cali";"ECF4"
"Sevilla";"76736000";"Valle Del Cauca";"Cali";"ECF4"
"Toro";"76823000";"Valle Del Cauca";"Cali";"ECF4"
"Trujillo";"76828000";"Valle Del Cauca";"Cali";"ECF4"
"Tuluá";"76834000";"Valle Del Cauca";"Cali";"ECF4"
"Ulloa";"76845000";"Valle Del Cauca";"Cali";"ECF4"
"Versalles";"76863000";"Valle Del Cauca";"Cali";"ECF4"
"Vijes";"76869000";"Valle Del Cauca";"Cali";"ECF4"
"Yotoco";"76890000";"Valle Del Cauca";"Cali";"ECF4"
"Yumbo";"76892000";"Valle Del Cauca";"Cali";"ECF4"
"Zarzal";"76895000";"Valle Del Cauca";"Cali";"ECF4"
"Cali";"76001000";"Valle";"Cali";"ECF4"
"Alcalá";"76020000";"Valle";"Cali";"ECF4"
"Andalucía";"76036000";"Valle";"Cali";"ECF4"
"Ansermanuevo";"76041000";"Valle";"Cali";"ECF4"
"Argelia";"76054000";"Valle";"Cali";"ECF4"
"Bolívar";"76100000";"Valle";"Cali";"ECF4"
"Buenaventura";"76109000";"Valle";"Cali";"ECF4"
"Guadalajara De Buga";"76111000";"Valle";"Cali";"ECF4"
"Bugalagrande";"76113000";"Valle";"Cali";"ECF4"
"Caicedonia";"76122000";"Valle";"Cali";"ECF4"
"Darién";"76126000";"Valle";"Cali";"ECF4"
"Candelaria";"76130000";"Valle";"Cali";"ECF4"
"Cartago";"76147000";"Valle";"Cali";"ECF4"
"Dagua";"76233000";"Valle";"Cali";"ECF4"
"El Águila";"76243000";"Valle";"Cali";"ECF4"
"El Cairo";"76246000";"Valle";"Cali";"ECF4"
"El Cerrito";"76248000";"Valle";"Cali";"ECF4"
"El Dovio";"76250000";"Valle";"Cali";"ECF4"
"Florida";"76275000";"Valle";"Cali";"ECF4"
"Ginebra";"76306000";"Valle";"Cali";"ECF4"
"Guacarí";"76318000";"Valle";"Cali";"ECF4"
"Jamundí";"76364000";"Valle";"Cali";"ECF4"
"La Cumbre";"76377000";"Valle";"Cali";"ECF4"
"La Unión";"76400000";"Valle";"Cali";"ECF4"
"La Victoria";"76403000";"Valle";"Cali";"ECF4"
"Obando";"76497000";"Valle";"Cali";"ECF4"
"Palmira";"76520000";"Valle";"Cali";"ECF4"
"Pradera";"76563000";"Valle";"Cali";"ECF4"
"Restrepo";"76606000";"Valle";"Cali";"ECF4"
"Riofrío";"76616000";"Valle";"Cali";"ECF4"
"Roldanillo";"76622000";"Valle";"Cali";"ECF4"
"San Pedro";"76670000";"Valle";"Cali";"ECF4"
"Sevilla";"76736000";"Valle";"Cali";"ECF4"
"Toro";"76823000";"Valle";"Cali";"ECF4"
"Trujillo";"76828000";"Valle";"Cali";"ECF4"
"Tuluá";"76834000";"Valle";"Cali";"ECF4"
"Ulloa";"76845000";"Valle";"Cali";"ECF4"
"Versalles";"76863000";"Valle";"Cali";"ECF4"
"Vijes";"76869000";"Valle";"Cali";"ECF4"
"Yotoco";"76890000";"Valle";"Cali";"ECF4"
"Yumbo";"76892000";"Valle";"Cali";"ECF4"
"Zarzal";"76895000";"Valle";"Cali";"ECF4"
"Santiago De Cali";"76001000";"Valle Del Cauca";"Cali";"ECF4"
"Santiago De Cali";"76001000";"Valle";"Cali";"ECF4"
"Pasto";"52001000";"Nariño";"Cali";"ECF4"
